term_a,freq_a,term_b,freq_b,cosine_similarity
口味,1,调味,4,0.494268
调味,4,香味,1,0.469314
分开,1,压开,1,0.430721
压开,1,压散,1,0.395205
简单,1,颜色,1,0.307848
出锅,3,颜色,1,0.295064
入锅,1,均匀,3,0.290535
出锅,3,葱花,4,0.283826
备用,1,锅里,4,0.272045
备用,1,结块,1,0.268365
出锅,3,加盐,2,0.264603
时候,2,炒出来,1,0.254349
倒进,1,米饭,30,0.254167
出锅,3,锅里,4,0.245072
炒出来,1,粘锅,1,0.236964
炒好,1,碗中,1,0.236307
出锅,3,步骤,1,0.235513
入锅,1,碗中,1,0.233559
倒进,1,蛋炒饭,4,0.233262
弄散,1,蛋炒饭,4,0.226481
出锅,3,继续,1,0.213153
粘锅,1,蛋炒饭,4,0.210324
锅里,4,颜色,1,0.209913
倒进,1,材料,1,0.209236
均匀,3,翻炒,9,0.204644
倒进,1,颜色,1,0.204415
炒出来,1,碗中,1,0.203778
关火,1,葱花,4,0.20361
入锅,1,材料,1,0.203002
一起,2,炒熟,2,0.200363
进去,13,鸡蛋,35,0.199343
放油,1,结块,1,0.197699
搅匀,1,翻炒,9,0.197671
出锅,3,混合,2,0.194407
时候,2,碗中,1,0.191936
均匀,3,碗中,1,0.189636
炒好,1,翻炒,9,0.189213
普通,1,鸡蛋,35,0.187236
准备,7,继续,1,0.187199
继续,1,翻炒,9,0.186795
关火,1,开火,1,0.182653
结块,1,饭粒,1,0.18159
铲子,2,香味,1,0.181175
倒进,1,味道,1,0.180092
倒进,1,炒熟,2,0.17937
分开,1,简单,1,0.178983
备用,1,弄散,1,0.178427
打散,6,油热,1,0.175849
沾上,1,鸡蛋,35,0.173907
口味,1,葱花,4,0.173167
炒好,1,继续,1,0.172576
均匀,3,炒熟,2,0.17205
备用,1,混合,2,0.171633
出锅,3,油热,1,0.168518
放油,1,香味,1,0.168065
加热,7,油热,1,0.166704
加热,7,差不多,3,0.162686
均匀,3,颜色,1,0.162028
味道,1,材料,1,0.161627
混合,2,香味,1,0.160221
炒好,1,鸡蛋,35,0.159952
味道,1,米饭,30,0.159917
开火,1,沾上,1,0.159447
简单,1,粘锅,1,0.15879
分开,1,铲子,2,0.158084
放油,1,时候,2,0.157763
备用,1,打散,6,0.157642
出锅,3,备用,1,0.156386
压开,1,碗中,1,0.1561
步骤,1,简单,1,0.155699
分开,1,味道,1,0.155314
差不多,3,沾上,1,0.15477
准备,7,结块,1,0.154132
压散,1,步骤,1,0.153764
结块,1,锅里,4,0.152499
加热,7,材料,1,0.152074
普通,1,米饭,30,0.151502
打入,3,搅匀,1,0.151086
压开,1,步骤,1,0.146706
继续,1,进去,13,0.146573
沾上,1,香味,1,0.14475
分开,1,时候,2,0.144022
均匀,3,蛋炒饭,4,0.144004
继续,1,颜色,1,0.143511
炒出来,1,结块,1,0.143423
材料,1,炒熟,2,0.14326
粘锅,1,结块,1,0.140808
步骤,1,葱花,4,0.139988
时候,2,步骤,1,0.139836
打入,3,香味,1,0.13937
翻炒,9,进去,13,0.138807
粘锅,1,锅里,4,0.138676
压开,1,颜色,1,0.138531
米饭,30,饭粒,1,0.137839
步骤,1,炒熟,2,0.137491
口味,1,炒出来,1,0.137046
关火,1,味道,1,0.136993
沾上,1,炒好,1,0.136817
炒熟,2,结块,1,0.1358
出锅,3,口味,1,0.135604
炒好,1,简单,1,0.134759
时候,2,简单,1,0.134689
碗中,1,铲子,2,0.134027
关火,1,普通,1,0.133587
出锅,3,粘锅,1,0.133178
搅匀,1,饭粒,1,0.132751
粘锅,1,颜色,1,0.130768
入锅,1,放油,1,0.130696
混合,2,米饭,30,0.13035
关火,1,口味,1,0.13004
材料,1,沾上,1,0.129325
加热,7,翻炒,9,0.128954
放油,1,调味,4,0.128579
碗中,1,蛋炒饭,4,0.127626
准备,7,炒熟,2,0.127379
味道,1,时候,2,0.127191
炒出来,1,蛋炒饭,4,0.126946
一起,2,差不多,3,0.126169
备用,1,炒熟,2,0.125055
味道,1,饭粒,1,0.123688
准备,7,时候,2,0.12356
出锅,3,简单,1,0.123162
搅匀,1,进去,13,0.122934
一起,2,结块,1,0.122508
加盐,2,压开,1,0.122339
压开,1,蛋炒饭,4,0.121488
入锅,1,压开,1,0.121299
弄散,1,搅匀,1,0.120603
弄散,1,碗中,1,0.119185
材料,1,颜色,1,0.119092
口味,1,油热,1,0.118165
放油,1,炒熟,2,0.117861
分开,1,加盐,2,0.116157
炒好,1,进去,13,0.116081
关火,1,准备,7,0.115903
压开,1,味道,1,0.115441
打散,6,继续,1,0.115429
沾上,1,蛋炒饭,4,0.115102
弄散,1,步骤,1,0.114869
入锅,1,加盐,2,0.113339
倒进,1,备用,1,0.113044
倒进,1,关火,1,0.112922
准备,7,放油,1,0.112251
口味,1,弄散,1,0.112123
弄散,1,简单,1,0.110993
备用,1,油热,1,0.110746
关火,1,步骤,1,0.110595
炒出来,1,锅里,4,0.109639
味道,1,开火,1,0.108943
入锅,1,米饭,30,0.108238
步骤,1,继续,1,0.107853
